codigo,nombre_barrio,comuna,listing_count,area_km2,density_per_km2,estrato_predominante,pct_predominante,fuente,total_viviendas,log_density,pct_homes_on_airbnb,log_pct_homes,saturation_rank,estrato_rank,displacement_risk_index
0409,Manrique Central No. 1,ARANJUEZ,15.0,0.3560259733860044,42.1317575719032,3.0,54.48,ECV 2022 (Ficha Caracterización Territorial 4),2947.0,3.7642595603952755,0.508992195453003,0.4114420077730017,0.7023809523809523,0.5754716981132075,0.1269092542677448
0307,Manrique Central No. 2,MANRIQUE,1.0,0.1911848717210104,5.23053937792351,2.0,54.49,ECV 2022 (Ficha Caracterización Territorial 3),1978.0,1.8294629065675572,0.05055611729019212,0.04931965947651528,0.3968253968253968,0.2811320754716981,0.1156933213536987
1307,Juan XXIII La Quiebra,SAN JAVIER,0.0,0.3995428945394356,0.0,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),4817.0,0.0,0.0,0.0,0.14484126984126985,0.03773584905660377,0.10710542078466609
1313,El Corazon,SAN JAVIER,0.0,0.2260317534780461,0.0,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),1613.0,0.0,0.0,0.0,0.14484126984126985,0.03773584905660377,0.10710542078466609
1305,Metropolitano,SAN JAVIER,0.0,0.0856283008521909,0.0,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),1068.0,0.0,0.0,0.0,0.14484126984126985,0.03773584905660377,0.10710542078466609
1314,Las Independencias,SAN JAVIER,0.0,0.2196344195985175,0.0,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),4614.0,0.0,0.0,0.0,0.14484126984126985,0.03773584905660377,0.10710542078466609
1312,Betania,SAN JAVIER,0.0,0.3742979757453071,0.0,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),2414.0,0.0,0.0,0.0,0.14484126984126985,0.03773584905660377,0.10710542078466609
1317,Eduardo Santos,SAN JAVIER,0.0,0.1516024484327439,0.0,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),1085.0,0.0,0.0,0.0,0.14484126984126985,0.03773584905660377,0.10710542078466609
1302,Blanquizal,SAN JAVIER,0.0,0.1681274171266996,0.0,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),2885.0,0.0,0.0,0.0,0.14484126984126985,0.03773584905660377,0.10710542078466609
1605,San Bernardo,BELEN,33.0,0.5205880314849752,63.3898553254627,3.0,37.91,ECV 2022 (Ficha Caracterización Territorial 16),7285.0,4.164956094699652,0.45298558682223744,0.3736204649396603,0.6825396825396826,0.5754716981132075,0.10706798442647503
0210,Santa Cruz,SANTA CRUZ,2.0,0.2596669157306166,7.702174897301272,2.0,87.46,ECV 2022 (Ficha Caracterización Territorial 2),4489.0,2.163572982614244,0.044553352639786145,0.043589380307654184,0.38095238095238093,0.2811320754716981,0.09982030548068282
1618,Nueva Villa de Aburra,BELEN,5.0,0.1829544732853143,27.329203327007953,3.0,37.91,ECV 2022 (Ficha Caracterización Territorial 16),1173.0,3.343893192268336,0.4262574595055414,0.3550538523333485,0.6746031746031746,0.5754716981132075,0.09913147648996712
1107,Bolivariana,LAURELES,257.0,0.3241176099615109,792.922050827534,5.0,64.94,ECV 2022 (Ficha Caracterización Territorial 11),1985.0,6.676985283666583,12.947103274559193,2.6352718361357765,0.9841269841269841,0.8867924528301887,0.09733453129679537
1019,La Candelaria,LA CANDELARIA,53.0,0.6716052773196641,78.91540133740429,4.0,51.57,ECV 2022 (Ficha Caracterización Territorial 10),1816.0,4.380968591861492,2.9185022026431717,1.3657094896244872,0.8888888888888888,0.7924528301886793,0.09643605870020955
0415,Miranda,ARANJUEZ,9.0,0.229473164910632,39.22027224187646,3.0,54.48,ECV 2022 (Ficha Caracterización Territorial 4),2210.0,3.6943711531400076,0.40723981900452494,0.34163021066148136,0.6706349206349206,0.5754716981132075,0.09516322252171305
1103,Naranjal,LAURELES,87.0,0.4718036088794248,184.39875906552024,5.0,64.94,ECV 2022 (Ficha Caracterización Territorial 11),916.0,5.222508959827371,9.497816593886462,2.3511672921008584,0.9801587301587301,0.8867924528301887,0.09336627732854141
0724,Monteclaro,ROBLEDO,2.0,0.4422746865530634,4.52207657550404,2.0,57.73,ECV 2022 (Ficha Caracterización Territorial 7; estratos 1+2 combined),4730.0,1.7087539807613301,0.042283298097251586,0.04141378555075714,0.373015873015873,0.2811320754716981,0.09188379754417492
0909,Cataluna,BUENOS AIRES,14.0,0.3975504414003256,35.21565703885679,3.0,58.75,ECV 2022 (Ficha Caracterización Territorial 9),3456.0,3.58949154020967,0.40509259259259256,0.3401032028153879,0.6666666666666666,0.5754716981132075,0.0911949685534591
1202,Calasanz,LA AMERICA,40.0,0.269968444933242,148.16546433747556,4.0,39.78,ECV 2020 (Ficha Caracterización Territorial 12),1469.0,5.00505618870689,2.722940776038121,1.3145138871728954,0.8809523809523809,0.7924528301886793,0.08849955076370164
0912,El Salvador,BUENOS AIRES,19.0,0.3403349121094977,55.8273610022325,3.0,58.75,ECV 2022 (Ficha Caracterización Territorial 9),4926.0,4.040017917528939,0.3857084855866829,0.32621155078616915,0.6587301587301587,0.5754716981132075,0.08325846061695119
