codigo,nombre_barrio,comuna,listing_count,area_km2,density_per_km2
1105,Los Conquistadores,LAURELES,184.0,0.6113363764555841,300.97996305536105
1108,Laureles,LAURELES,271.0,0.680113689371538,398.46279266988245
1110,La Castellana,LAURELES,42.0,0.5933935266445046,70.77933633266905
1205,La Floresta,LA AMERICA,60.0,0.3800688522177952,157.86613307006152
1201,Ferrini,LA AMERICA,6.0,0.2098389778433475,28.59335315900757
1212,Santa Teresita,LA AMERICA,6.0,0.42222757312775727,14.210346225267777
1202,Calasanz,LA AMERICA,40.0,0.269968444933242,148.16546433747556
1208,Campo Alegre,LA AMERICA,14.0,0.4708427497556067,29.733918611397904
1207,El Danubio,LA AMERICA,18.0,0.16509217874240617,109.02999849608535
1206,Santa Lucia,LA AMERICA,12.0,0.32775482486492297,36.61273332877873
1211,Simon Bolivar,LA AMERICA,55.0,0.34709787594963665,158.45674609654026
1203,Los Pinos,LA AMERICA,24.0,0.21388383239386363,112.21044494753762
1204,La America,LA AMERICA,39.0,0.3979387027358426,98.00504382175855
1210,Barrio Cristobal,LA AMERICA,8.0,0.1489897779331014,53.694958882294046
1209,Santa Monica,LA AMERICA,13.0,0.33645473450570074,38.63818417980899
1213,Calasanz Parte Alta,LA AMERICA,6.0,0.4805150258063107,12.486602245022242
0914,Asomadera No. 1,BUENOS AIRES,31.0,0.6073837034047835,51.03857714032282
0915,Asomadera No. 2,BUENOS AIRES,32.0,0.6289390160863696,50.879336758471304
0904,Los Cerros El Vergel,BUENOS AIRES,11.0,0.30993499083361936,35.49131374425893
0908,Miraflores,BUENOS AIRES,9.0,0.28043943837896274,32.09249045720218
0911,Gerona,BUENOS AIRES,4.0,0.25915907057327003,15.43453598267598
0905,Alejandro Echavarria,BUENOS AIRES,5.0,0.3280694877605413,15.24067365767801
0901,Juan Pablo II,BUENOS AIRES,0.0,0.09233605813915734,0.0
0912,El Salvador,BUENOS AIRES,19.0,0.34033491210949773,55.8273610022325
0916,Asomadera No. 3,BUENOS AIRES,4.0,0.19552373669831635,20.457874156587984
0917,Ocho de Marzo,BUENOS AIRES,0.0,0.057661956899757005,0.0
0909,Cataluna,BUENOS AIRES,14.0,0.39755044140032564,35.21565703885679
0910,La Milagrosa,BUENOS AIRES,1.0,0.18277872765239325,5.471096187417334
0903,Bombona No. 2,BUENOS AIRES,5.0,0.6371753757761899,7.847133128629045
0902,Barrio de Jesus,BUENOS AIRES,3.0,0.4305562448507603,6.967730780539165
0907,Buenos Aires,BUENOS AIRES,34.0,0.2664614979426288,127.5981718278881
