id,lat,lon,room_type,property_type,reviews_count,nightly_usd,city
1574625527600925756,6.2471,-75.5915,Private room,Private room in rental unit,21,37.0,Medellin
4244399,6.2505,-75.5871,Entire home/apt,Entire rental unit,200,36.4,Medellin
1131059238030187095,6.2432,-75.5558,Entire home/apt,Entire rental unit,38,60.42,Medellin
1384036584459949644,6.259810144931682,-75.5639103792592,Private room,Private room in home,2,21.79,Medellin
900878981923020478,6.2474,-75.591,Private room,Room in hotel,161,21.91,Medellin
1313216398962989907,6.2559,-75.5968,Private room,Private room in casa particular,3,21.5,Medellin
782740530835437163,6.24665,-75.58608,Entire home/apt,Entire rental unit,55,44.78,Medellin
903569308246919885,6.17181,-75.58346,Entire home/apt,Entire rental unit,2,33.12,Medellin
957268224167418247,6.2445,-75.5988,Private room,Private room in home,74,38.39,Medellin
1186292315816424358,6.2457,-75.588,Private room,Private room in serviced apartment,39,22.42,Medellin
1511682331127651150,6.2395,-75.5884,Entire home/apt,Entire loft,14,38.4,Medellin
1361679740507746443,6.248095506262418,-75.56507188878976,Private room,Room in hotel,2,21.01,Medellin
9415705,6.2145220062540325,-75.57270850163826,Private room,Private room in rental unit,59,32.42,Medellin
1677504514488337587,6.247,-75.6063,Private room,Private room in rental unit,2,20.91,Medellin
1713234178141146702,6.194,-75.5919,Entire home/apt,Entire serviced apartment,2,22.11,Medellin
1603912057514197468,6.220281741976944,-75.58190173548809,Private room,Private room in rental unit,3,68.63,Medellin
1037074197223363131,6.2468,-75.5846,Private room,Private room in home,18,37.3,Medellin
1478396177690241295,6.2339,-75.5983,Private room,Private room in guesthouse,1,33.12,Medellin
739328443608830946,6.23933,-75.58344,Private room,Private room in home,13,22.09,Medellin
1004366449751719455,6.33611,-75.55611,Private room,Room in hotel,9,45.68,Medellin
1020654308936226873,6.224332115882195,-75.59658199988637,Private room,Private room in guesthouse,9,22.09,Medellin
958999805296902218,6.2478,-75.58891,Private room,Private room in home,7,22.6,Medellin
1361680960518250622,6.246602416557041,-75.5645358268297,Private room,Room in hotel,0,21.01,Medellin
1201469790738216759,6.2523,-75.5921,Private room,Private room in rental unit,23,20.37,Medellin
1361678502435452930,6.246493369240509,-75.56315337098935,Private room,Room in hotel,3,21.01,Medellin
1705850835904877563,6.259857423830955,-75.56023688810404,Private room,Private room in rental unit,0,42.0,Medellin
817979394454695491,6.24064,-75.5811,Private room,Room in hotel,7,143.54,Medellin
