barrio,localidad,area_has,listing_count,area_km2,density_per_km2,estrato_predominante,total_viviendas,log_density,pct_homes_on_airbnb,log_pct_homes,saturation_rank,estrato_rank,displacement_risk_index
LA CEIBA,Suroccidente,29.2,2.0,0.2918075493343495,6.853832275971807,3.0,1401.0,2.0610016006911995,0.14275517487508924,0.1334421666597077,0.5738636363636364,0.6420454545454546,-0.06818181818181823
LOS JOBOS,Norte - Centro Historico,9.93,4.0,0.0991841905693741,40.329007849312546,4.0,409.0,3.7215646226539043,0.9779951100244498,0.6820837610156899,0.7443181818181818,0.8153409090909091,-0.07102272727272729
VILLA COUNTRY,Norte - Centro Historico,25.03,25.0,0.2500684894248978,99.9726117332674,6.0,954.0,4.614849309110019,2.6205450733752618,1.2866245872583373,0.8977272727272727,0.9715909090909091,-0.07386363636363635
EL CAMPITO,Suroriental,17.17,2.0,0.1715691591655679,11.657106730178455,3.0,1502.0,2.5382188542768085,0.13315579227696406,0.1250064768092394,0.5681818181818182,0.6420454545454546,-0.07386363636363635
MODELO,Norte - Centro Historico,32.0,7.0,0.3197423185824117,21.89262913659579,4.0,897.0,3.1308149869839834,0.7803790412486065,0.5768262861562163,0.7386363636363636,0.8153409090909091,-0.07670454545454541
SOLAIRE NORTE,Riomar,5.67,3.0,0.0566420345721302,52.96419916166112,5.0,186.0,3.988320848209096,1.6129032258064515,0.9604619501872925,0.8238636363636364,0.9034090909090909,-0.07954545454545459
LAS TRES AVE MARIAS,Riomar,14.09,1.0,0.1408190416138397,7.1013123547754615,3.0,838.0,2.0920260676627964,0.11933174224343676,0.11273184852414164,0.5625,0.6420454545454546,-0.07954545454545459
LAS MERCEDES,Norte - Centro Historico,8.95,2.0,0.0894238744571271,22.36539192851533,4.0,278.0,3.151255950183129,0.7194244604316548,0.541989618800819,0.7329545454545454,0.8153409090909091,-0.08238636363636365
LA VICTORIA,Suroriental,73.42,4.0,0.7335595934305015,5.452863047286923,3.0,3464.0,1.8645239156209306,0.11547344110854503,0.10927892565008283,0.5511363636363636,0.6420454545454546,-0.09090909090909094
LA SIERRA,Metropolitana,35.17,2.0,0.3514312869032757,5.691012936336711,3.0,2089.0,1.900765273192431,0.09573958831977022,0.0914295583960009,0.5397727272727273,0.6420454545454546,-0.10227272727272729
CAMPO ALEGRE,Norte - Centro Historico,71.92,2.0,0.718623636364538,2.783097992876838,3.0,2091.0,1.3305432487985742,0.09564801530368246,0.09134598302486195,0.5340909090909091,0.6420454545454546,-0.10795454545454553
EL LIMONCITO,Riomar,15.18,4.0,0.1517202519471379,26.3643116107774,4.0,765.0,3.3092396684518564,0.522875816993464,0.42060053217326504,0.6988636363636364,0.8153409090909091,-0.11647727272727271
BUENAVISTA,Riomar,39.83,19.0,0.3979661310727709,47.74275627120066,6.0,1016.0,3.8865565970946667,1.8700787401574805,1.0543394649901217,0.8522727272727273,0.9715909090909091,-0.11931818181818177
CEVILLAR,Metropolitana,36.19,2.0,0.3615982226275763,5.531000637854007,3.0,2266.0,1.876560168586111,0.088261253309797,0.08458124213633798,0.5227272727272727,0.6420454545454546,-0.11931818181818188
